date,lat,lon,ind
2019-07-10,40.72601172964625,-74.05038893222809,12204
2019-07-10,40.72528910781132,-74.04557168483734,12204
2019-07-10,40.71958611647166,-74.04311746358871,12205
2019-07-10,40.71649,-74.04105,12205
2019-07-10,40.721630142638354,-74.04996782541275,12206
2019-07-10,40.71958611647166,-74.04311746358871,12206
2019-07-10,40.71958611647166,-74.04311746358871,12207
2019-07-10,40.727595966,-74.044247311,12207
2019-07-10,40.71346382669195,-74.06285852193832,12208
2019-07-10,40.71958611647166,-74.04311746358871,12208
2019-07-10,40.7112423,-74.0557013,12209
2019-07-10,40.71958611647166,-74.04311746358871,12209
2019-07-10,40.73089709786179,-74.06391263008118,12210
2019-07-10,40.7246050998869,-74.07840594649315,12210
2019-07-10,40.72572613742557,-74.07195925712585,12211
